id,date,time,A,B,C,D,E,F,G,H
111338,1/1/2022,15:10:02,1980,752,2037,753,1582,761,11942,1437
111339,1/1/2022,15:20:00,1980,752,2035,756,1582,758,11942,1438
111340,1/1/2022,15:40:00,1980,752,2036,756,1578,758,11976,1439
111341,1/1/2022,15:50:09,1980,752,2038,756,1578,757,11994,1441
111342,1/1/2022,16:10:00,1980,752,2038,754,1578,759,11972,1442
111343,1/1/2022,16:20:00,1980,752,2037,754,1578,757,11942,1449
111344,1/1/2022,16:40:01,1979,752,2035,754,1581,759,11942,1453
111345,1/1/2022,16:50:00,1978,752,2038,755,1578,755,11942,1454
111346,1/1/2022,17:10:05,1978,752,2035,752,1578,754,11942,1455
111347,1/1/2022,17:20:00,1980,752,2035,755,1578,760,11928,1455
111348,1/1/2022,17:40:01,1977,752,2035,756,1580,757,11928,1457
111349,1/1/2022,17:50:08,1980,752,2037,754,1582,757,11924,1461
111350,1/1/2022,18:10:02,1980,752,2035,756,1578,759,11928,1466
111351,1/1/2022,18:20:00,1980,752,2037,754,1582,755,11940,1467
111352,1/1/2022,18:40:00,1978,752,2035,756,1582,759,11939,1466
111353,1/1/2022,18:50:02,1978,752,2035,756,1582,757,11940,1468
111354,1/1/2022,19:10:08,1977,752,2035,756,1586,756,11910,1468
111355,1/1/2022,19:20:00,1977,754,2035,756,1587,755,11918,1472
111356,1/1/2022,19:40:00,1977,752,2035,756,1589,757,11938,1475
111357,1/1/2022,19:50:05,1976,754,2035,754,1591,757,11898,1477
111358,1/1/2022,20:10:01,1979,753,2035,754,1594,759,11928,1479
111359,1/1/2022,20:40:03,1977,755,2035,756,1596,759,11933,1478
111360,1/1/2022,20:50:00,1980,753,2037,756,1596,760,11902,1479
111361,1/1/2022,21:20:00,1977,755,2035,756,1601,757,11935,1484
111362,1/1/2022,21:40:03,1978,752,2035,756,1601,757,11937,1484
111363,1/1/2022,21:50:10,1977,753,2035,756,1601,759,11925,1485
111364,1/1/2022,22:10:03,1978,753,2035,756,1604,758,11895,1484
111365,1/1/2022,22:20:07,0,0,0,0,0,0,0,0
111366,1/1/2022,22:40:00,1978,752,2035,756,1605,757,11901,1485
111367,1/1/2022,22:50:00,1976,756,2035,756,1606,757,11923,1487
111368,1/1/2022,23:20:01,1977,753,2035,756,1606,761,11927,1488
111369,1/1/2022,23:40:02,1976,752,2035,756,1610,757,11898,1487
111370,1/1/2022,23:50:07,1977,756,2035,756,1611,758,11911,1488
111371,1/2/2022,0:10:00,1976,755,2035,756,1611,759,11927,1490
111372,1/2/2022,0:20:00,1976,755,2035,756,1611,757,11910,1493
111373,1/2/2022,0:40:00,1979,752,2035,756,1611,758,11917,1493
111374,1/2/2022,0:50:00,1977,756,2035,756,1611,757,11900,1493
111375,1/2/2022,1:10:01,1979,752,2035,756,1613,758,11925,1498
111376,1/2/2022,1:20:00,1978,752,2035,756,1614,758,11931,1498
111377,1/2/2022,1:40:05,1976,752,2035,756,1616,757,11927,1498
111378,1/2/2022,1:50:00,1978,752,2035,756,1616,758,11918,1498
111379,1/2/2022,2:10:00,1976,752,2035,756,1616,754,11908,1498
111380,1/2/2022,2:20:05,1979,753,2035,756,1620,757,11917,1498
111381,1/2/2022,2:40:00,1976,756,2035,756,1621,757,11896,1502
111382,1/2/2022,2:50:00,1977,756,2035,756,1621,754,11911,1498
111383,1/2/2022,3:10:03,1976,753,2035,756,1626,757,11903,1502
111384,1/2/2022,3:40:00,1977,753,2035,756,1626,758,11920,1502
111385,1/2/2022,3:50:01,1976,752,2036,756,1626,759,11906,1499
111386,1/2/2022,4:10:01,1976,752,2035,756,1626,757,11933,1502
111387,1/2/2022,4:20:00,1979,753,2035,756,1626,758,11904,1501
111388,1/2/2022,4:40:00,1977,752,2036,756,1628,757,11887,1499
111389,1/2/2022,4:50:00,1976,752,2035,756,1629,757,11921,1499
111390,1/2/2022,5:10:00,1976,754,2035,756,1628,754,11901,1503
111391,1/2/2022,5:20:00,1977,752,2035,756,1629,756,11910,1500
111392,1/2/2022,5:40:05,1978,752,2035,756,1628,760,11932,1499
111393,1/2/2022,5:50:08,1976,752,2035,756,1629,755,11902,1498
111394,1/2/2022,6:10:00,1976,752,2035,756,1631,755,11888,1507
111395,1/2/2022,6:40:04,1976,752,2035,756,1631,757,11907,1504
111396,1/2/2022,6:50:00,1980,752,2036,756,1634,756,11900,1508
111397,1/2/2022,7:10:00,1976,752,2035,756,1631,757,11904,1503
111398,1/2/2022,7:20:00,1976,752,2039,756,1631,754,11929,1499
111399,1/2/2022,7:40:00,1980,752,2036,756,1629,755,11919,1499
111400,1/2/2022,7:50:04,1977,752,2035,756,1630,758,11896,1495
111401,1/2/2022,8:10:01,1976,752,2035,753,1627,753,11899,1492
111402,1/2/2022,8:20:09,1976,752,2035,756,1627,756,11913,1487
111403,1/2/2022,8:40:04,1978,752,2036,754,1622,753,11914,1479
111404,1/2/2022,8:50:01,1978,752,2035,756,1619,754,11925,1476
111405,1/2/2022,9:10:00,1980,752,2036,756,1616,754,11909,1470
111406,1/2/2022,9:20:00,1976,752,2039,754,1612,757,11931,1465
111407,1/2/2022,9:40:10,1971,752,2017,754,1608,757,11938,1459
111408,1/2/2022,9:50:00,1969,752,1987,752,1611,759,11930,1463
111409,1/2/2022,10:10:00,1958,752,1814,752,1611,759,11938,1464
111410,1/2/2022,10:20:03,0,0,0,0,0,0,0,0
111411,1/2/2022,10:40:04,1952,749,1802,752,1607,759,11928,1459
111412,1/2/2022,11:00:20,0,0,0,0,0,0,0,0
111413,1/2/2022,11:10:01,1944,750,1809,752,1612,755,11935,1458
